mean,variance,std_dev,morans_I,n,shape_r,shape_c,run,label,method,factor,pixel_size_rel
0.7567811543650818,0.0004753246686580457,0.02180194185521202,0.47993850533629473,256,16,16,0,cluster_nn,cluster,32,32.0
0.7349697208534203,0.01704557365718751,0.13055869812918444,0.6060192951766671,262144,512,512,1,cluster_nn,cluster,1,1.0
0.7349697208534202,0.011612151213477613,0.10775969197003865,0.539067623550164,65536,256,256,1,cluster_nn,cluster,2,2.0
0.7349697208534203,0.007215499431028884,0.08494409591624885,0.45205106604483475,16384,128,128,1,cluster_nn,cluster,4,4.0
0.7349697208534202,0.003968498056719692,0.06299601619721434,0.39373522648904535,4096,64,64,1,cluster_nn,cluster,8,8.0
0.7349697208534202,0.002083978996718973,0.04565061879886157,0.3371330481173717,1024,32,32,1,cluster_nn,cluster,16,16.0
0.7349697208534202,0.001022012072427464,0.03196892354189399,0.2756542688401579,256,16,16,1,cluster_nn,cluster,32,32.0
0.7359726579367833,0.016874551079482325,0.12990208266029582,0.5995968604058936,262144,512,512,2,cluster_nn,cluster,1,1.0
0.7359726579367833,0.011401240050810571,0.10677658943237778,0.5340503699332105,65536,256,256,2,cluster_nn,cluster,2,2.0
0.7359726579367835,0.0070768325702479686,0.08412391200038173,0.44395079450425795,16384,128,128,2,cluster_nn,cluster,4,4.0
0.7359726579367836,0.004035625506659402,0.06352657323246236,0.3700592696606746,4096,64,64,2,cluster_nn,cluster,8,8.0
0.7359726579367836,0.0020697530035423493,0.04549453817264606,0.3265482826880698,1024,32,32,2,cluster_nn,cluster,16,16.0
0.7359726579367835,0.0009232873001643447,0.03038564299409089,0.2535904334243344,256,16,16,2,cluster_nn,cluster,32,32.0
0.7234078279172117,0.021390974409520477,0.1462565362967429,0.6084118796188276,262144,512,512,3,cluster_nn,cluster,1,1.0
0.7234078279172116,0.01470318701564397,0.1212566988485336,0.5378783276867607,65536,256,256,3,cluster_nn,cluster,2,2.0
0.7234078279172116,0.00911493660657037,0.09547217713329036,0.43319823124342577,16384,128,128,3,cluster_nn,cluster,4,4.0
0.7234078279172116,0.004975834856307396,0.070539597789521,0.3526155290298661,4096,64,64,3,cluster_nn,cluster,8,8.0
0.7234078279172116,0.0022760489955413942,0.04770795526472911,0.37407179597810475,1024,32,32,3,cluster_nn,cluster,16,16.0
0.7234078279172116,0.001068846435752834,0.03269321696855227,0.3560982876727977,256,16,16,3,cluster_nn,cluster,32,32.0
